instruction,output
"이번 쇼핑, 교육/체험 프로그램 참가, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프)로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","밤밭 청개구리 공원에 가보셨나요? 가보시지 않으셨다면, 밤밭 청개구리 공원을 추천드립니다."
"쇼핑, 교육/체험 프로그램 참가, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프)(으)로 2인 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 성균관대역 먹자골목입니다.
"1명과 함께 SNS 인생샷 여행, 신규 여행지 발굴, 야외 스포츠, 레포츠 활동할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 고기굽는마당입니다.
"저는 40대 이고, 3명과 테마파크, 놀이시설, 동/식물원 방문을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 기흥호수 공원입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 SNS 인생샷 여행, 인플루언서 따라하기 여행, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람을 좋아하고, 2인 가족 여행 예정입니다.","콩치노콩크리트에 가보셨나요? 가보시지 않으셨다면, 콩치노콩크리트을 추천드립니다."
"인플루언서 따라하기 여행, SNS 인생샷 여행, 지역 축제/이벤트 참가, 시티투어, 지역 문화예술/공연/전시시설 관람(으)로 2인 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","잠수교에 가보셨나요? 가보시지 않으셨다면, 잠수교을 추천드립니다."
"인플루언서 따라하기 여행, SNS 인생샷 여행, 지역 축제/이벤트 참가, 시티투어, 지역 문화예술/공연/전시시설 관람(으)로 2인 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","잠원한강공원에 가보셨나요? 가보시지 않으셨다면, 잠원한강공원을 추천드립니다."
"2인 여행(가족 외)으로 할 예정입니다. 대중교통 등으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 주꾸미 골목입니다.
"이번 인플루언서 따라하기 여행, SNS 인생샷 여행, 지역 축제/이벤트 참가, 시티투어, 지역 문화예술/공연/전시시설 관람로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","천호동 로데오거리에 가보셨나요? 가보시지 않으셨다면, 천호동 로데오거리을 추천드립니다."
"0명 과 쇼핑, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","올림픽공원 올림픽홀에 가보셨나요? 가보시지 않으셨다면, 올림픽공원 올림픽홀을 추천드립니다."
"2인 가족 여행으로 할 예정입니다. 대중교통 등으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 안터생태공원입니다.
"1명과 함께 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 광명 전통시장입니다.
"이번 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람를 위해 대중교통 등으로 여행가는데, 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 화담입니다.
나홀로 여행로 0명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 뉴스프링 프로젝트입니다.
"저는 20대 이고, 1명과 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 호캉스 여행, 인플루언서 따라하기 여행를 가려고 합니다. 여행지 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 제이락 볼링 안 펍입니다.
"나홀로 여행으로 할 예정입니다. nan으로 이동하려는데, 추천할 만한 여행지가 있을까요?","플러스 시어터에 가보셨나요? 가보시지 않으셨다면, 플러스 시어터을 추천드립니다."
"저는 30대 이고, 2명과 쇼핑, 교육/체험 프로그램 참가, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 시티투어을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.","수봉공원에 가보셨나요? 가보시지 않으셨다면, 수봉공원을 추천드립니다."
자녀 동반 여행로 2명 과 여행지 추천,"수도국산 달동네 박물관에 가보셨나요? 가보시지 않으셨다면, 수도국산 달동네 박물관을 추천드립니다."
"강원도에 사는 사람이 쇼핑, 교육/체험 프로그램 참가, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 시티투어로 여행갈만한 곳이 있나요? 2명 정도 될 것 같습니다.","화이트 그리다에 가보셨나요? 가보시지 않으셨다면, 화이트 그리다을 추천드립니다."
"강원도 30대 여성, 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 미요 아트 키즈 클래스입니다.
저는 30대 여성입니다. 자녀 동반 여행으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"킨더 북 카페에 가보셨나요? 가보시지 않으셨다면, 킨더 북 카페을 추천드립니다."
"20대 남성이고, 이번에 쇼핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어로 여행을 떠납니다. 여행지 추천 부탁드려요.","롯데시네마 합정에 가보셨나요? 가보시지 않으셨다면, 롯데시네마 합정을 추천드립니다."
"저는 60대 이고, 4명과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 지역 문화예술/공연/전시시설 관람을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 화랑유원지입니다.
"저는 60대 이고, 4명과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 지역 문화예술/공연/전시시설 관람을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 안산문화광장입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 지역 문화예술/공연/전시시설 관람을 좋아하고, 3대 동반 여행(친척 포함) 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 노적봉폭포공원 노적봉폭포입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 지역 문화예술/공연/전시시설 관람을 좋아하고, 나홀로 여행 예정입니다.","오브젝트 성수점에 가보셨나요? 가보시지 않으셨다면, 오브젝트 성수점을 추천드립니다."
"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 지역 문화예술/공연/전시시설 관람 여행 가는데 1명과 함께할 곳 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 송추계곡입니다.
"저는 60대 이고, 1명과 등반 여행을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 금대산입니다.
저는 60대 여성입니다. 2인 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 사나사입니다.
"30대 입니다. 이번에 시티투어, 지역 문화예술/공연/전시시설 관람 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 킨텍스 제2전시장 6홀입니다.
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","잠실종합운동장 올림픽 주경기장에 가보셨나요? 가보시지 않으셨다면, 잠실종합운동장 올림픽 주경기장을 추천드립니다."
"5명과 함께 호캉스 여행, SNS 인생샷 여행, 테마파크, 놀이시설, 동/식물원 방문할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 더 스테이 힐링파크입니다.
"1명 과 캠핑, 쇼핑, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 남이섬입니다.
"경기도에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 칼봉산 자연휴양림입니다.
"1명과 캠핑, 쇼핑, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행을 떠나는데 여행지 추천 해줘.","경기도 잣향기 푸른 숲에 가보셨나요? 가보시지 않으셨다면, 경기도 잣향기 푸른 숲을 추천드립니다."
"서울특별시에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?","용주사에 가보셨나요? 가보시지 않으셨다면, 용주사을 추천드립니다."
"20대 여성이고, 이번에 쇼핑, SNS 인생샷 여행, 지역 축제/이벤트 참가로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 수나 코 2호점입니다.
"20대 입니다. 이번에 쇼핑, SNS 인생샷 여행, 지역 축제/이벤트 참가 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","더블유더블유더블유 스페이스에 가보셨나요? 가보시지 않으셨다면, 더블유더블유더블유 스페이스을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, SNS 인생샷 여행, 지역 축제/이벤트 참가을 좋아하고, 2인 여행(가족 외) 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 어글리 베이커리입니다.
"저는 20대 이고, 1명과 쇼핑, 드라마 촬영지 방문, SNS 인생샷 여행, 역사 유적지 방문를 가려고 합니다. 여행지 해줘.","화성행궁(드라마 그해 우리는 촬영지)에 가보셨나요? 가보시지 않으셨다면, 화성행궁(드라마 그해 우리는 촬영지)을 추천드립니다."
"30대 입니다. 이번에 지역 문화예술/공연/전시시설 관람, 쇼핑, 교육/체험 프로그램 참가, Well-ness 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","맥심 플랜트에 가보셨나요? 가보시지 않으셨다면, 맥심 플랜트을 추천드립니다."
나홀로 여행로 0명 과 여행지 추천,"현대카드 바이닐앤플라스틱에 가보셨나요? 가보시지 않으셨다면, 현대카드 바이닐앤플라스틱을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 SNS 인생샷 여행, 시티투어을 좋아하고, 자녀 동반 여행 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 메콩 카페입니다.
"30대 남성이고, 이번에 Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 반려동물 동반 여행, 캠핑로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 현대 프리미엄 아울렛 스페이스원입니다.
"경기도에 사는 사람이 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, 드라마 촬영지 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 등반 여행로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 별빛마을 포토랜드입니다.
"쇼핑, 지역 문화예술/공연/전시시설 관람(으)로 가려고 하는데, 자가용을 이용 경기도 20대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 메세나 폴리스몰입니다.
"경기도에 사는 사람이 쇼핑, 지역 문화예술/공연/전시시설 관람로 여행갈만한 곳이 있나요? 0명 정도 될 것 같습니다.","드림홀에 가보셨나요? 가보시지 않으셨다면, 드림홀을 추천드립니다."
"저는 40대 이고, 2명과 역사 유적지 방문, SNS 인생샷 여행을 떠납니다. 추천 부탁드려요.","수원 소품 거리에 가보셨나요? 가보시지 않으셨다면, 수원 소품 거리을 추천드립니다."
"자녀 동반 여행으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 노량진 수산물 도매시장입니다.
"자녀 동반 여행으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?","잠실한강공원에 가보셨나요? 가보시지 않으셨다면, 잠실한강공원을 추천드립니다."
"저는 40대 이고, 1명과 교육/체험 프로그램 참가, 지역 문화예술/공연/전시시설 관람을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.","국립어린이과학관에 가보셨나요? 가보시지 않으셨다면, 국립어린이과학관을 추천드립니다."
"저는 40대 이고, 1명과 교육/체험 프로그램 참가, 지역 문화예술/공연/전시시설 관람을 떠납니다. 추천 부탁드려요.","하땅사 극장에 가보셨나요? 가보시지 않으셨다면, 하땅사 극장을 추천드립니다."
"자녀 동반 여행으로 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람 여행을 계획 중인데 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 카페 하우스입니다.
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 오랑주리입니다.
"1명과 드라마 촬영지 방문, 종교/성지 순례, 신규 여행지 발굴, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 팜투하녹입니다.
"1명 과 드라마 촬영지 방문, 종교/성지 순례, 신규 여행지 발굴, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 포토 그레이 수원 행궁점입니다.
"nan을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 해와 달 떡입니다.
"40대 남성이고, 이번에 쇼핑, 시티투어로 여행을 떠납니다. 여행지 추천 부탁드려요.","오이도 선사유적공원 전망대에 가보셨나요? 가보시지 않으셨다면, 오이도 선사유적공원 전망대을 추천드립니다."
저는 40대 남성입니다. 2인 가족 여행으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"육장 갈비 오이도점에 가보셨나요? 가보시지 않으셨다면, 육장 갈비 오이도점을 추천드립니다."
"이번 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 캠핑, 지역 축제/이벤트 참가로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 강촌레일파크 경강역입니다.
"서울특별시에 살고 있는데, 3인 이상 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?","철도박물관에 가보셨나요? 가보시지 않으셨다면, 철도박물관을 추천드립니다."
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 2명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 산본 로데오거리입니다.
"서울특별시에 사는 사람이 교육/체험 프로그램 참가, SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람로 여행갈만한 곳이 있나요? 2명 정도 될 것 같습니다.","포시즌 힐링 팜에 가보셨나요? 가보시지 않으셨다면, 포시즌 힐링 팜을 추천드립니다."
"이번 쇼핑, 시티투어, 유흥/오락(나이트라이프), Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 지역 축제/이벤트 참가, 드라마 촬영지 방문, 야외 스포츠, 레포츠 활동를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","인생 한우에 가보셨나요? 가보시지 않으셨다면, 인생 한우을 추천드립니다."
"이번 쇼핑, 시티투어, 유흥/오락(나이트라이프), Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 지역 축제/이벤트 참가, 드라마 촬영지 방문, 야외 스포츠, 레포츠 활동를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","스타벅스 상계 초 교 사거리점에 가보셨나요? 가보시지 않으셨다면, 스타벅스 상계 초 교 사거리점을 추천드립니다."
"30대 입니다. 이번에 쇼핑, 시티투어, 유흥/오락(나이트라이프), Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 지역 축제/이벤트 참가, 드라마 촬영지 방문, 야외 스포츠, 레포츠 활동 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 방학동 도깨비시장입니다.
"30대 입니다. 이번에 쇼핑, 시티투어, 유흥/오락(나이트라이프), Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 지역 축제/이벤트 참가, 드라마 촬영지 방문, 야외 스포츠, 레포츠 활동 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 하나로마트 창동점입니다.
"쇼핑, 친환경 여행(플로깅 여행), 등반 여행(으)로 나홀로 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","의왕국민체육센터에 가보셨나요? 가보시지 않으셨다면, 의왕국민체육센터을 추천드립니다."
"쇼핑, 친환경 여행(플로깅 여행), 등반 여행(으)로 가려고 하는데, nan을 이용 서울특별시 30대 여행지 추천","매봉에 가보셨나요? 가보시지 않으셨다면, 매봉을 추천드립니다."
"저는 30대 이고, 1명과 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, 신규 여행지 발굴를 가려고 합니다. 여행지 해줘.","보정동 카페거리에 가보셨나요? 가보시지 않으셨다면, 보정동 카페거리을 추천드립니다."
"2인 여행(가족 외)로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 방 탈출 ESC입니다.
"1명과 함께 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 휴코인노래연습장 신촌 명물거리점입니다.
자녀 동반 여행로 3명 과 여행지 추천,"다이소 평택역점에 가보셨나요? 가보시지 않으셨다면, 다이소 평택역점을 추천드립니다."
" 함께 SNS 인생샷 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행), 지역 문화예술/공연/전시시설 관람할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 문화역 서울 284입니다.
"40대 여성이고, 이번에 쇼핑, SNS 인생샷 여행, 호캉스 여행, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람로 여행을 떠납니다. 여행지 추천 부탁드려요.","밥할머니 공원에 가보셨나요? 가보시지 않으셨다면, 밥할머니 공원을 추천드립니다."
"1명 과 쇼핑, SNS 인생샷 여행, 호캉스 여행, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 구름산 산림욕장입니다.
"20대 남성이고, 이번에 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 캠핑로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 가평 물골 숲계곡 캠핑장입니다.
"테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 캠핑 여행 가는데 5과 함께할 곳 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 차 박사 카 서비스입니다.
"저는 40대 이고, 8명과 야외 스포츠, 레포츠 활동, 캠핑을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 산장관광지 캠핑장입니다.
"1명과 함께 쇼핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 유흥/오락(나이트라이프), 지역 문화예술/공연/전시시설 관람할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","카페 데 코믹스 홍대점에 가보셨나요? 가보시지 않으셨다면, 카페 데 코믹스 홍대점을 추천드립니다."
"2인 가족 여행으로 할 예정입니다. nan으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 하나개해수욕장입니다.
"이번 신규 여행지 발굴, 등반 여행, 지역 문화예술/공연/전시시설 관람로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","무의도 해상관광 탐방로에 가보셨나요? 가보시지 않으셨다면, 무의도 해상관광 탐방로을 추천드립니다."
"이번 SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","백운호수에 가보셨나요? 가보시지 않으셨다면, 백운호수을 추천드립니다."
"Well-ness 여행, SNS 인생샷 여행(으)로 가려고 하는데, 자가용을 이용 경기도 40대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 포레스트힐 CC입니다.
"1명과 시티투어, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 신규 여행지 발굴, 지역 문화예술/공연/전시시설 관람, 역사 유적지 방문, 인플루언서 따라하기 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 행복한 백화점 목동점입니다.
"쇼핑, 호캉스 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행)(으)로 2인 가족 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","Apple 가로수길에 가보셨나요? 가보시지 않으셨다면, Apple 가로수길을 추천드립니다."
"2인 가족 여행로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 리버 커피입니다.
"저는 쇼핑, SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람을 선호하고,  함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 다이소 하남미사점입니다.
"서울특별시에 사는 사람이 쇼핑, SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람로 여행갈만한 곳이 있나요? 0명 정도 될 것 같습니다.","롯데시네마 하남미사에 가보셨나요? 가보시지 않으셨다면, 롯데시네마 하남미사을 추천드립니다."
"1명과 SNS 인생샷 여행, 호캉스 여행, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프) 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아르고 티입니다.
"1명 과 쇼핑, Well-ness 여행, 시티투어, 지역 축제/이벤트 참가로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","안양천에 가보셨나요? 가보시지 않으셨다면, 안양천을 추천드립니다."
"저는 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람을 선호하고, 5명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 동송 마트(군마 아트)입니다.
"5명과 함께 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","동송전통시장에 가보셨나요? 가보시지 않으셨다면, 동송전통시장을 추천드립니다."
"이번 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람로 5명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","화강 쉬리공원에 가보셨나요? 가보시지 않으셨다면, 화강 쉬리공원을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 지역 문화예술/공연/전시시설 관람, 시티투어, SNS 인생샷 여행을 좋아하고, 3인 이상 여행(가족 외) 예정입니다.","선유도공원에 가보셨나요? 가보시지 않으셨다면, 선유도공원을 추천드립니다."
"2명과 함께 지역 문화예술/공연/전시시설 관람, 시티투어, SNS 인생샷 여행할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","목동종합운동장 목동아이스링크에 가보셨나요? 가보시지 않으셨다면, 목동종합운동장 목동아이스링크을 추천드립니다."
"30대 입니다. 이번에 친환경 여행(플로깅 여행), 유흥/오락(나이트라이프), 캠핑 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","화악 터널 쌈지공원에 가보셨나요? 가보시지 않으셨다면, 화악 터널 쌈지공원을 추천드립니다."
자녀 동반 여행로 3명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 용흥궁공원입니다.
"저는 40대 이고, 3명과 역사 유적지 방문, Well-ness 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 인플루언서 따라하기 여행, 신규 여행지 발굴, Well-ness 여행, 역사 유적지 방문을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 대한 성공회 강화성당입니다.
"저는 역사 유적지 방문, Well-ness 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 인플루언서 따라하기 여행, 신규 여행지 발굴, Well-ness 여행, 역사 유적지 방문을 선호하고, 3명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 고려궁지 외규장각입니다.
"30대 인데, 이번에 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 지역 축제/이벤트 참가 여행 갑니다. 숙박 추천 해줘.","오산시립미술관에 가보셨나요? 가보시지 않으셨다면, 오산시립미술관을 추천드립니다."
"저는 60대 이고, 2명과 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, 지역 축제/이벤트 참가를 가려고 합니다. 여행지 해줘.","국립 산음자연휴양림에 가보셨나요? 가보시지 않으셨다면, 국립 산음자연휴양림을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 SNS 인생샷 여행, 역사 유적지 방문, 유흥/오락(나이트라이프)을 좋아하고, 2인 여행(가족 외) 예정입니다.","소래습지생태공원에 가보셨나요? 가보시지 않으셨다면, 소래습지생태공원을 추천드립니다."
"SNS 인생샷 여행, 역사 유적지 방문, 유흥/오락(나이트라이프) 여행 가는데 1명과 함께할 곳 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 소래포구 전통 어시장입니다.
"이번 SNS 인생샷 여행, 역사 유적지 방문, 유흥/오락(나이트라이프)로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","소래역사관에 가보셨나요? 가보시지 않으셨다면, 소래역사관을 추천드립니다."
"서울특별시에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 퍼스트 가든입니다.
